source,source_id,brand,product_name,category,category_mapped,ingredients,form,image_url,upc_ean,country,lang,raw_json
openfoodfacts,5060469989846,Optimum Nutrition,Gold Standard Casein Chocolate Supreme,"Sports-, Sports-nutrition",protein,,,data/images/758ac7f80e7188662b3fb0dcc3b533ec.jpg,5060469989846,en:fr,en,"{""brands"": ""Optimum Nutrition"", ""categories"": ""Sports-, Sports-nutrition"", ""code"": ""5060469989846"", ""countries"": ""en:fr"", ""image_url"": ""https://images.openfoodfacts.org/images/products/506/046/998/9846/front_en.14.400.jpg"", ""lang"": ""en"", ""product_name"": ""Gold Standard Casein Chocolate Supreme""}"
openfoodfacts,0181030000151,XTEND,"Xtend, Refreshing Apple & Vasocharge, Refreshing Lemonade",en:sports-nutrition,,"Citric Acid, Natural & Artificial Flavors, Malic Acid, Acesulfame Potassium, Sucralose, Silicon Dioxide, FD&C Blue Lake #1",,data/images/01d548062fba17cce5b744b473828306.jpg,0181030000151,en:france,fr,"{""brands"": ""XTEND"", ""categories"": ""en:sports-nutrition"", ""code"": ""0181030000151"", ""countries"": ""en:france"", ""image_url"": ""https://images.openfoodfacts.org/images/products/018/103/000/0151/front_en.15.400.jpg"", ""ingredients_text"": ""Citric Acid, Natural & Artificial Flavors, Malic Acid, Acesulfame Potassium, Sucralose, Silicon Dioxide, FD&C Blue Lake #1"", ""lang"": ""fr"", ""product_name"": ""Xtend, Refreshing Apple & Vasocharge, Refreshing Lemonade""}"
openfoodfacts,5425000677604,Etixx,energy sport bar,Sports nutrition,,,,data/images/e8277a69826ac2d8f97bd433bd9581ff.jpg,5425000677604,Belgium,fr,"{""brands"": ""Etixx"", ""categories"": ""Sports nutrition"", ""code"": ""5425000677604"", ""countries"": ""Belgium"", ""image_url"": ""https://images.openfoodfacts.org/images/products/542/500/067/7604/front_fr.12.400.jpg"", ""ingredients_text"": """", ""lang"": ""fr"", ""product_name"": ""energy sport bar""}"
openfoodfacts,0850057089615,Wellah,Splish Splash Hydration Electrolyte Drink Mix,Sports Nutrition,minerals,"Potassium Citrate, Sodium Citrate, Potassium Chloride, Calcium Citrate, Magnesium Citrate, Sodium Chloride, Magnesium Malate, Organic Raspberry Powder, Strawberry Juice Powder, Organic Blueberry Powder, Cranberry Extract, L-Malic Acid, Citric Acid, Natural Flavors, Maltodextrin, Calcium Silicate, Reb M (from stevia extract), Beet Root Powder (for color), Stevia, Dicalcium Phosphate",,data/images/6c665d073640ef267f550f55a707fce4.jpg,0850057089615,United States,en,"{""brands"": ""Wellah"", ""categories"": ""Sports Nutrition"", ""code"": ""0850057089615"", ""countries"": ""United States"", ""image_url"": ""https://images.openfoodfacts.org/images/products/085/005/708/9615/front_en.3.400.jpg"", ""ingredients_text"": ""Potassium Citrate, Sodium Citrate, Potassium Chloride, Calcium Citrate, Magnesium Citrate, Sodium Chloride, Magnesium Malate, Organic Raspberry Powder, Strawberry Juice Powder, Organic Blueberry Powder, Cranberry Extract, L-Malic Acid, Citric Acid, Natural Flavors, Maltodextrin, Calcium Silicate, Reb M (from stevia extract), Beet Root Powder (for color), Stevia, Dicalcium Phosphate"", ""lang"": ""en"", ""product_name"": ""Splish Splash Hydration Electrolyte Drink Mix""}"
openfoodfacts,6009670530675,,racefood Fastbar,sports nutrition,,,,data/images/6dfa0d972f0fb2950e0ae48f7d8dc1c3.jpg,6009670530675,en:South Africa,en,"{""categories"": ""sports nutrition"", ""code"": ""6009670530675"", ""countries"": ""en:South Africa"", ""image_url"": ""https://images.openfoodfacts.org/images/products/600/967/053/0675/front_en.3.400.jpg"", ""lang"": ""en"", ""product_name"": ""racefood Fastbar""}"
openfoodfacts,0810125972874,Liquid I.V.,Strawberry,en:sports-nutrition,vitamins,"CANE SUGAR, DEXTROSE, CITRIC ACID, SALT, POTASSIUM CITRATE, SODIUM CITRATE, DIPOTASSIUM PHOSPHATE, SILICON DIOXIDE, STEVIA LEAF EXTRACT (REBAUDIOSIDE A), NATURAL FLAVORS, VITAMIN C (ASCORBIC ACID), VITAMIN B3 (NIACINAMIDE), VITAMIN B5 (CALCIUM D-PANTOTHENATE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B12 (CYANOCOBALAMIN), CANE SUGAR, DEXTROSE, CITRIC ACID, SALT, POTASSIUM CITRATE, SODIUM CITRATE, DIPOTASSIUM PHOSPHATE, SILICON DIOXIDE, STEVIA LEAF EXTRACT (REBAUDIOSIDE A), VITAMIN C (ASCORBIC ACID), NATURAL FLAVORS, VITAMIN B3 (NIACINAMIDE), VITAMIN B5 (CALCIUM D-PANTOTHENATE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B12 (CYANOCOBALAMIN)",,data/images/92d394ca5d0cfbdb1d4d4bfb9524cb30.jpg,0810125972874,en:United States,en,"{""brands"": ""Liquid I.V."", ""categories"": ""en:sports-nutrition"", ""code"": ""0810125972874"", ""countries"": ""en:United States"", ""image_url"": ""https://images.openfoodfacts.org/images/products/081/012/597/2874/front_en.25.400.jpg"", ""ingredients_text"": ""CANE SUGAR, DEXTROSE, CITRIC ACID, SALT, POTASSIUM CITRATE, SODIUM CITRATE, DIPOTASSIUM PHOSPHATE, SILICON DIOXIDE, STEVIA LEAF EXTRACT (REBAUDIOSIDE A), NATURAL FLAVORS, VITAMIN C (ASCORBIC ACID), VITAMIN B3 (NIACINAMIDE), VITAMIN B5 (CALCIUM D-PANTOTHENATE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B12 (CYANOCOBALAMIN), CANE SUGAR, DEXTROSE, CITRIC ACID, SALT, POTASSIUM CITRATE, SODIUM CITRATE, DIPOTASSIUM PHOSPHATE, SILICON DIOXIDE, STEVIA LEAF EXTRACT (REBAUDIOSIDE A), VITAMIN C (ASCORBIC ACID), NATURAL FLAVORS, VITAMIN B3 (NIACINAMIDE), VITAMIN B5 (CALCIUM D-PANTOTHENATE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN B12 (CYANOCOBALAMIN)"", ""lang"": ""en"", ""product_name"": ""Strawberry""}"
openfoodfacts,0810143512878,Just Ingredients,Blue Hawaiian Electrolytes,en:sports-nutrition,,"organic coconut water, organic coconut cream, organic coconut, organic coconut sugar, sea salt, organic acacia fiber, organic vanilla flavor, organic vanilla extract",,data/images/1c5ead95ea1df10db61dd702c489eca2.jpg,0810143512878,en:united-states,en,"{""brands"": ""Just Ingredients"", ""categories"": ""en:sports-nutrition"", ""code"": ""0810143512878"", ""countries"": ""en:united-states"", ""image_url"": ""https://images.openfoodfacts.org/images/products/081/014/351/2878/front_en.3.400.jpg"", ""ingredients_text"": ""organic coconut water, organic coconut cream, organic coconut, organic coconut sugar, sea salt, organic acacia fiber, organic vanilla flavor, organic vanilla extract"", ""lang"": ""en"", ""product_name"": ""Blue Hawaiian Electrolytes""}"
openfoodfacts,0766536080359,BodyTech Elite,Altered Savage,Sports-nutrition,,"Natural and artificial flavors, malic acid, citric acid, silicon dioxide,, acacia gum, calcium silicate, sucralose, fruit and vegetable juice (for color), acesulfame, potassium.",,data/images/f7e7c50ddf8816898e767647bb6adfcf.jpg,0766536080359,United States,en,"{""brands"": ""BodyTech Elite"", ""categories"": ""Sports-nutrition"", ""code"": ""0766536080359"", ""countries"": ""United States"", ""image_url"": ""https://images.openfoodfacts.org/images/products/076/653/608/0359/front_en.3.400.jpg"", ""ingredients_text"": ""Natural and artificial flavors, malic acid, citric acid, silicon dioxide,, acacia gum, calcium silicate, sucralose, fruit and vegetable juice (for color), acesulfame, potassium."", ""lang"": ""en"", ""product_name"": ""Altered Savage""}"
openfoodfacts,0620365040048,Organika,Electrolytes,en:sports-nutrition,,"Citric acid, Natural raspberry flavour, Prebiotic soluble vegetable re, Potassium citrate, Tricalcium phosphate, Ascorbic acid, Concentrated beet root for, Stevia extract, Sodium chloride, Concentrated carrot (for colour), Acide, Arôme naturel de framboise, Prébiotique fibre végétale soluble, Citrate de magnésium, Citrate de potassium, Phosphate de tricalcium, Acide ascorbique, Betterave concentrée (pour la, Extrait de stevia, Chlorure de sodium, Carotte concentrée pour la couleu",,data/images/9c528368d7c6cbaefe5240871c08ce76.jpg,0620365040048,en:Canada,en,"{""brands"": ""Organika"", ""categories"": ""en:sports-nutrition"", ""code"": ""0620365040048"", ""countries"": ""en:Canada"", ""image_url"": ""https://images.openfoodfacts.org/images/products/062/036/504/0048/front_en.23.400.jpg"", ""ingredients_text"": ""Citric acid, Natural raspberry flavour, Prebiotic soluble vegetable re, Potassium citrate, Tricalcium phosphate, Ascorbic acid, Concentrated beet root for, Stevia extract, Sodium chloride, Concentrated carrot (for colour), Acide, Arôme naturel de framboise, Prébiotique fibre végétale soluble, Citrate de magnésium, Citrate de potassium, Phosphate de tricalcium, Acide ascorbique, Betterave concentrée (pour la, Extrait de stevia, Chlorure de sodium, Carotte concentrée pour la couleu"", ""lang"": ""en"", ""product_name"": ""Electrolytes""}"
openfoodfacts,0742488239328,PROMIX,Strawberry Lemon,en:sports-nutrition,,"B12 (Methylcobalamin), Beta-Alanine, L-Tyrosine, Taurine, Caffeine (coffee bean extract), Lemon Oil, Lemon Juice, Strawberry Extractives, Citric Acid, Malic Acid, Monk Fruit, Beets, Caffeine",,data/images/1284989e63608ee46331f6a7d278fcd4.jpg,0742488239328,en:united-states,en,"{""brands"": ""PROMIX"", ""categories"": ""en:sports-nutrition"", ""code"": ""0742488239328"", ""countries"": ""en:united-states"", ""image_url"": ""https://images.openfoodfacts.org/images/products/074/248/823/9328/front_en.3.400.jpg"", ""ingredients_text"": ""B12 (Methylcobalamin), Beta-Alanine, L-Tyrosine, Taurine, Caffeine (coffee bean extract), Lemon Oil, Lemon Juice, Strawberry Extractives, Citric Acid, Malic Acid, Monk Fruit, Beets, Caffeine"", ""lang"": ""en"", ""product_name"": ""Strawberry Lemon""}"
